"","ara","fdr"
"OG0000000",0.999419151664271,1
"OG0000001",0.465609542042569,1
"OG0000002",0.99942519269967,1
"OG0000004",0.999775476034211,1
"OG0000005",0.998575369952965,1
"OG0000006",0.340222529540748,1
"OG0000007",0.998260519454979,1
"OG0000011",0.239806656524808,1
"OG0000015",0.999988565549918,1
"OG0000016",0.999488154548269,1
"OG0000023",0.998988262999207,1
"OG0000030",0.999675999174105,1
"OG0000031",0.999317293801696,1
"OG0000060",0.945560014832197,1
"OG0000074",0.999874511524139,1
"OG0000079",0.988422421017509,1
"OG0000080",0.998021310860187,1
"OG0000084",0.999720137236521,1
"OG0000099",0.999910189279029,1
"OG0000100",0.999910189279029,1
"OG0000123",0.999964130806632,1
"OG0000124",0.999068011140744,1
"OG0000130",0.990957833090801,1
"OG0000138",0.998575369952965,1
"OG0000139",0.751222179435456,1
"OG0000149",0.998021310860187,1
"OG0000161",0.999723967496971,1
"OG0000166",0.999068011140744,1
"OG0000176",0.999324114790685,1
"OG0000186",0.999212759884776,1
"OG0000194",0.999317293801696,1
"OG0000210",0.999453394564835,1
"OG0000211",0.792157111142428,1
"OG0000213",0.997276300381263,1
"OG0000215",0.999317293801696,1
"OG0000219",0.995890200687719,1
"OG0000220",0.995945854127257,1
"OG0000224",0.999874511524139,1
"OG0000229",0.0309542661387494,0.799236779728093
"OG0000230",0.999665977975688,1
"OG0000241",0.544382939067745,1
"OG0000246",0.561076595481431,1
"OG0000249",0.999964130806632,1
"OG0000256",0.999068011140744,1
"OG0000261",0.999865331999149,1
"OG0000263",0.161636357896664,1
"OG0000267",0.758762019597925,1
"OG0000282",0.999919307817939,1
"OG0000288",0.353066454081263,1
"OG0000293",0.99977184491286,1
"OG0000295",0.999317293801696,1
"OG0000298",0.999964130806632,1
"OG0000299",0.999317293801696,1
"OG0000304",0.999843361918651,1
"OG0000310",0.967880721411677,1
"OG0000311",0.640797521820992,1
"OG0000313",0.999068011140744,1
"OG0000317",0.337602566261712,1
"OG0000318",0.174247202194822,1
"OG0000321",0.999585713341311,1
"OG0000326",0.999717033849498,1
"OG0000327",0.640797521820992,1
"OG0000335",0.999688796284903,1
"OG0000343",0.992660760388831,1
"OG0000347",0.999665977975688,1
"OG0000355",0.999317293801696,1
"OG0000362",0.997356299825209,1
"OG0000365",0.999977276164242,1
"OG0000374",0.997001137789756,1
"OG0000376",0.997932886231946,1
"OG0000380",0.999296925348151,1
"OG0000381",0.976680316053073,1
"OG0000383",0.999656604987508,1
"OG0000392",0.999964100926371,1
"OG0000394",0.685540831582512,1
"OG0000398",0.999369929864136,1
"OG0000400",0.828793782779219,1
"OG0000402",0.999665977975688,1
"OG0000404",0.999317293801696,1
"OG0000409",0.996372789903019,1
"OG0000410",0.640797521820992,1
"OG0000413",0.999673691873457,1
"OG0000414",0.188463941761227,1
"OG0000419",0.998021310860187,1
"OG0000421",0.326546670184496,1
"OG0000423",0.999481084934873,1
"OG0000426",0.999793701638209,1
"OG0000429",0.991742663865703,1
"OG0000433",0.999492395772752,1
"OG0000444",0.997965780902328,1
"OG0000451",0.640797521820992,1
"OG0000456",0.353066454081263,1
"OG0000463",0.999637083870505,1
"OG0000465",0.355043342740265,1
"OG0000466",0.0150887260445422,0.453941628634688
"OG0000474",0.9965754433219,1
"OG0000475",0.998870410084439,1
"OG0000479",0.9994864910367,1
"OG0000489",0.359941011712712,1
"OG0000495",0.0354417345487453,0.881335236619906
"OG0000496",0.293181019584906,1
"OG0000497",0.109742095536821,1
"OG0000498",0.999317293801696,1
"OG0000503",0.127730109601923,1
"OG0000504",0.99812177892634,1
"OG0000506",0.999964618179824,1
"OG0000515",0.430819299120051,1
"OG0000516",0.999784390398713,1
"OG0000517",0.998553594866236,1
"OG0000518",0.0554714081920011,1
"OG0000521",0.999266657688476,1
"OG0000524",0.289825279442411,1
"OG0000527",0.353066454081263,1
"OG0000528",0.951549010196096,1
"OG0000533",0.999317293801696,1
"OG0000540",0.447087401748274,1
"OG0000541",0.999785612997389,1
"OG0000544",0.993159149083791,1
"OG0000549",0.810126601331045,1
"OG0000551",0.550715488140883,1
"OG0000553",0.395402488495351,1
"OG0000555",0.999139688444356,1
"OG0000556",0.790248462037609,1
"OG0000557",0.990957833090801,1
"OG0000559",0.299072540809508,1
"OG0000560",0.853194640872176,1
"OG0000564",0.953176747004281,1
"OG0000573",0.999919307817939,1
"OG0000574",0.998982784533542,1
"OG0000575",0.997994495499868,1
"OG0000579",0.999702700369923,1
"OG0000587",0.999161932800561,1
"OG0000595",0.999939434141914,1
"OG0000596",0.999964130806632,1
"OG0000598",0.603749538915579,1
"OG0000603",0.417665926730985,1
"OG0000610",0.999747232884003,1
"OG0000612",0.9994864910367,1
"OG0000613",0.752843084003135,1
"OG0000615",0.852731997322859,1
"OG0000625",0.998021310860187,1
"OG0000635",0.596537758673682,1
"OG0000636",0.163764919181368,1
"OG0000637",0.711257384193613,1
"OG0000639",0.99912180696054,1
"OG0000644",0.999068011140744,1
"OG0000647",0.125241467099358,1
"OG0000648",0.99973722660884,1
"OG0000649",0.205717014508927,1
"OG0000650",0.11577976435576,1
"OG0000655",0.50798391570121,1
"OG0000659",0.998093091235274,1
"OG0000660",0.999660835441021,1
"OG0000663",0.999943345128028,1
"OG0000666",0.9991260491169,1
"OG0000672",0.714643526630156,1
"OG0000674",0.999198044591417,1
"OG0000675",0.999791202862911,1
"OG0000677",0.999806333207486,1
"OG0000678",0.999680258895267,1
"OG0000679",0.849509839103916,1
"OG0000680",0.353066454081263,1
"OG0000681",0.538906486028054,1
"OG0000687",0.999656604987508,1
"OG0000688",0.999972748679026,1
"OG0000695",0.905646712610777,1
"OG0000696",0.999919347162089,1
"OG0000699",0.999129187893928,1
"OG0000700",0.298868098357812,1
"OG0000701",0.999829796301785,1
"OG0000702",0.999749095581981,1
"OG0000703",0.567199500734808,1
"OG0000704",0.400407350828061,1
"OG0000706",0.999540168239346,1
"OG0000708",0.999942741173728,1
