"","ara","fdr"
"X7.0",0.30690378596588,0.99996851066441
"X8.0",0.000485199825727729,0.00469026498203472
"X9.0",0.000172420951925201,0.00368683022602779
"X10.0",0.999726020637196,0.99996851066441
"X11.0",0.770167626298204,0.99996851066441
"X12.0",0.587715494911429,0.99996851066441
"X13.0",0.64417901844262,0.99996851066441
"X14.0",0.999893034177099,0.99996851066441
"X15.0",0.000254264153519158,0.00368683022602779
"X16.0",0.188545751701617,0.911304466557815
"X17.0",0.00136563294564544,0.0099008388559294
"X18.0",0.00819993181191621,0.047559604509114
"X19.0",0.999845196541837,0.99996851066441
"X20.0",0.579945829687084,0.99996851066441
"X21.0",0.733053578454183,0.99996851066441
"X22.0",0.310411634524213,0.99996851066441
"X23.0",0.999525600629717,0.99996851066441
"X24.0",0.999965457289922,0.99996851066441
"X25.0",0.997029601107555,0.99996851066441
"X26.0",0.615531832449751,0.99996851066441
"X27.0",0.99996851066441,0.99996851066441
"X28.0",0.999964130771846,0.99996851066441
"X29.0",0.999943366060105,0.99996851066441
"X30.0",0.999472120917352,0.99996851066441
"X31.0",0.988818978565991,0.99996851066441
"X32.0",0.999540168240755,0.99996851066441
"X33.0",0.795931547286003,0.99996851066441
"X34.0",0.886333470557862,0.99996851066441
"X35.0",0.999892745604195,0.99996851066441
